record_id,record_type,source_id,source_locator,canonical_state,publication_state,reconciliation_state,mobile_runtime_eligibility,variant_state,tamil_review_state,authority_reason,content_hash
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-SARGA-001,SARGA,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",874d6d7b416a0abf3a464d2a13391f2941fe47ecd84827e10203a08789693e4e
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-EVENT-001,EVENT,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",d7140d8e98eab9c5e5f6b31dd2e8c7e901197267c217c31d242926fb9eb3bbc4
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-DIALOGUE-001,DIALOGUE,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",f8ec406fca89bcf7a2d06171e4c13a56c8af0fe9dd103b189fa85814e922cacc
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-CHARACTER-001,CHARACTER,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",479e5c5f12509170b2c5efbb87db028215d0a80b04ea0e6a8abc029e30fcdac6
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-PLACE-001,PLACE,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",e31979f4ea0e06456b8302882edee96bea21092dfe091ea6a85838b05f609e0f
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-JOURNEY-001,JOURNEY,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",d7bf71fbbe907a31b8b4d06ff74f8fd107c3418183997589ab3c6771a0baf806
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-DHARMA_LESSON-001,DHARMA_LESSON,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",140122b62a4c36eebd1388d8e7635040938b980941b365992ea42a1cc989eb50
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-WISDOM-001,WISDOM,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",0cfeaede1e52e4f9c8847a239a45cbd59608f83a6c885c9d1bbd955833474258
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-TIMELINE_EVENT-001,TIMELINE_EVENT,SRC-RV02-STOTRANIDHI-AYODHYA-S94,2.94.1-27,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",a3b3845898ae87ae5077e91e94e2372e53678c80b75cc14cb61ed7349c06047a
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-SARGA-001,SARGA,SRC-RV02-STOTRANIDHI-AYODHYA-S95,2.95.1-19,NON_CANONICAL,MOBILE_CANDIDATE_ONLY,RECONCILED,APPROVED,NONE,MACHINE_DRAFT_NEEDS_REVIEW,"Physical source registry and exact source locator cross-check passed; Set A source-id field normalization is documented in the v2 crosswalk. This is an isolated Mobile runtime candidate, not canonical promotion.",268f2d0a656de810928af5ebe91e2da83fc7b9ca467f3e7987d2793a52809f6b
