decision_id,record_id,kanda,sarga,record_type,recommended_choice,confidence,risk_if_wrong
"DEC-stg-postv1-ayodhyakanda-s21-dialogue-001","stg-postv1-ayodhyakanda-s21-dialogue-001","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-dialogue-002","stg-postv1-ayodhyakanda-s21-dialogue-002","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s21-dialogue-003","stg-postv1-ayodhyakanda-s21-dialogue-003","Ayodhya Kanda","21","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-dialogue-001","stg-postv1-ayodhyakanda-s22-dialogue-001","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s22-dialogue-002","stg-postv1-ayodhyakanda-s22-dialogue-002","Ayodhya Kanda","22","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-dialogue-001","stg-postv1-ayodhyakanda-s23-dialogue-001","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-dialogue-002","stg-postv1-ayodhyakanda-s23-dialogue-002","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-dialogue-003","stg-postv1-ayodhyakanda-s23-dialogue-003","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s23-dialogue-004","stg-postv1-ayodhyakanda-s23-dialogue-004","Ayodhya Kanda","23","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-dialogue-001","stg-postv1-ayodhyakanda-s24-dialogue-001","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-dialogue-002","stg-postv1-ayodhyakanda-s24-dialogue-002","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-dialogue-003","stg-postv1-ayodhyakanda-s24-dialogue-003","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s24-dialogue-004","stg-postv1-ayodhyakanda-s24-dialogue-004","Ayodhya Kanda","24","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-dialogue-001","stg-postv1-ayodhyakanda-s25-dialogue-001","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s25-dialogue-002","stg-postv1-ayodhyakanda-s25-dialogue-002","Ayodhya Kanda","25","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-dialogue-001","stg-postv1-ayodhyakanda-s26-dialogue-001","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-dialogue-002","stg-postv1-ayodhyakanda-s26-dialogue-002","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s26-dialogue-003","stg-postv1-ayodhyakanda-s26-dialogue-003","Ayodhya Kanda","26","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s27-dialogue-001","stg-postv1-ayodhyakanda-s27-dialogue-001","Ayodhya Kanda","27","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
"DEC-stg-postv1-ayodhyakanda-s27-dialogue-002","stg-postv1-ayodhyakanda-s27-dialogue-002","Ayodhya Kanda","27","","HUMAN_EDITOR_REQUIRED","LOW","Incorrect canonicalization could erase a textual, edition, translation, tradition, entity, or locator distinction."
